Seq,Task ID,제목,Category,Implementation Status,Requirement Ref,Screen,Route,Page Entry,Depends On,Expected Files,Functional AC,Visual AC,Security/Privacy AC,Verify,Priority,Detail File,Detail File Exists,wave_id
37,CMP-GLOBAL-AUTH-CALLBACK,Supabase 이메일 인증 콜백 Route,COMPONENT,IMPLEMENT,(기술 Route — REQ-FUNC-066 지원),-,`/auth/callback`,`src/app/auth/callback/route.ts`,DB-SCHEMA-BASE,`src/app/auth/callback/route.ts`(create),이메일 인증 콜백 처리 후 `/account`로 리다이렉트,해당 없음(비UI Route),"콜백 코드 1회성 검증, 세션 쿠키 SameSite 설정",E2E-MATE-AUTH,P0,TASKS/TASK-CMP-GLOBAL-AUTH-CALLBACK.md,True,W02
38,DATA-DESTINATIONS,국내·해외 여행지 정적 데이터,DATA,IMPLEMENT,"REQ-FUNC-004,007,008,009",-,-,-,-,"`src/data/destinations/domestic.ts`(create), `src/data/destinations/overseas.ts`(create)","국내 10곳 이상, 해외 15개국 30개 도시 이상, Section 3-4 필수 필드(소개 300자+·명소 5+·추천시기·1일/3일 일정·예산·교통·음식 3+·에티켓·출처·수정일) 전량 포함, `countryCode`로 안전 데이터와 매칭; Lorem ipsum·""정보 확인 필요"" 금지",이미지는 일반 인터넷 URL + 실제 장소 설명 alt,해당 없음,CI-CONTENT-VALIDATION,P0,TASKS/TASK-DATA-DESTINATIONS.md,True,W01
39,DATA-SAFETY,국가 안전정보 정적 데이터,DATA,IMPLEMENT,REQ-FUNC-046~054,-,-,-,-,`src/data/safety/countries.ts`(create),"소개된 해외 15개국 전체, 8개 카테고리, 출처·확인일·편집자, 경보 단계·범위, 긴급연락처 필드 전량 포함",해당 없음,해당 없음,CI-CONTENT-VALIDATION,P0,TASKS/TASK-DATA-SAFETY.md,True,W02
40,DATA-REPRESENTATIVE,free_traveler 대표 프로필 정적 데이터,DATA,IMPLEMENT,REQ-FUNC-057~063,-,-,-,-,`src/data/representative/profile.ts`(create),"대표명·50+ Trips·30+ Countries 단일 소스, 소개문·철학, 방문국가 30개+, Timeline 6+, 추천 여행지 참조 4개, 이미지 8장+",해당 없음,해당 없음,CI-CONTENT-VALIDATION,P0,TASKS/TASK-DATA-REPRESENTATIVE.md,True,W02
41,DB-SCHEMA-BASE,Supabase 기본 스키마(6테이블),DB,IMPLEMENT,"(기반 — REQ-FUNC-027~045,066,077 지원)",-,-,-,-,`supabase/migrations/0001_schema.sql`(create),"`user_profiles`,`mate_posts`,`mate_applications`,`user_blocks`,`reports`,`app_settings` 정확히 6개 테이블만 생성(그 이상 금지)",해당 없음,개인정보 최소 수집(정확한 생년월일 컬럼 없음),TEST-RLS-BASIC,P0,TASKS/TASK-DB-SCHEMA-BASE.md,True,W02
42,DB-RLS-BASE,Row Level Security 정책,DB,IMPLEMENT,REQ-FUNC-044; REQ-NF-013,-,-,-,DB-SCHEMA-BASE,`supabase/migrations/0002_rls.sql`(create),본인·요청 대상 작성자·Moderator/Admin만 비공개 데이터 접근하도록 6개 테이블 전체에 RLS 정책 적용,해당 없음,권한별 부정 접근 테스트 전량 403/빈 결과,TEST-RLS-BASIC,P0,TASKS/TASK-DB-RLS-BASE.md,True,W02
43,DB-ACCESS,데이터 접근 계층(Server Actions/쿼리 헬퍼),DB,IMPLEMENT(최선노력),REQ-NF-005,-,-,-,"DB-SCHEMA-BASE, DB-RLS-BASE",`src/lib/db/*.ts`(create),"6개 테이블에 대한 타입 안전 쿼리 헬퍼, 쓰기 API 응답 목표(p95 3초) 고려",해당 없음,입력 검증·이스케이프로 저장 XSS 차단,"UNIT-MATE-STATE, TEST-RLS-BASIC",P0,TASKS/TASK-DB-ACCESS.md,True,W02
44,DB-SEED-BASE,개발용 시드 데이터,DB,IMPLEMENT,(기반 — 로컬/스테이징 검증용),-,-,-,DB-SCHEMA-BASE,`supabase/seed.sql`(create),"6개 테이블에 대한 최소 개발용 샘플 레코드(모집중 글, 요청, 신고 등 각 상태 1건 이상)",해당 없음,실 개인정보 미사용(가상 데이터만),"TEST-RLS-BASIC, E2E-MATE-AUTH",P1,TASKS/TASK-DB-SEED-BASE.md,True,W03
45,API-MATES-READ,동행 목록/상세 조회,API,IMPLEMENT,"REQ-FUNC-030,033,037; REQ-NF-004,019",-,-,-,"DB-ACCESS, DB-RLS-BASE",`src/lib/db/mates-read.ts`(create),필터·차단 제외·자동 마감 판정을 포함한 목록/상세 조회,해당 없음,RLS로 비공개 필드 서버 측 차단,"E2E-MATE-AUTH, UNIT-MATE-STATE",P0,TASKS/TASK-API-MATES-READ.md,True,W03
46,API-MATES-WRITE,동행 모집글 작성·수정·마감·삭제,API,IMPLEMENT,"REQ-FUNC-031,032,038,080",-,-,-,"DB-ACCESS, DB-RLS-BASE",`src/lib/db/mates-write.ts`(create),"안전수칙 동의 시각 저장, 연락처 패턴 서버 측 재검증, 수동 마감/수정/삭제",해당 없음,작성자 본인만 수정 가능(RLS),"UNIT-CONTACT-DETECTION, E2E-TRAVEL-TOOLS",P0,TASKS/TASK-API-MATES-WRITE.md,True,W03
47,API-MATES-APPLICATIONS,참가 요청 제출·승인·거절,API,IMPLEMENT,"REQ-FUNC-034,035,036,043",-,-,-,"DB-ACCESS, DB-RLS-BASE",`src/lib/db/mate-applications.ts`(create),"중복 PENDING/ACCEPTED 차단(DB unique 제약), 작성자만 승인/거절 전이 허용, 상태 변경 시 알림 트리거",해당 없음,비작성자 승인 시도 403,"UNIT-MATE-STATE, E2E-MATE-AUTH",P0,TASKS/TASK-API-MATES-APPLICATIONS.md,True,W03
48,API-MODERATION,신고 접수·상태 처리·차단,API,IMPLEMENT,"REQ-FUNC-039,040,041,042; REQ-NF-019",-,-,-,"DB-ACCESS, DB-RLS-BASE",`src/lib/db/moderation.ts`(create),"신고 접수 ID 생성, OPEN→RESOLVED/DISMISSED 전이, 차단/차단 해제",해당 없음,신고자·피신고자 상세는 관리자만 조회 가능,"UNIT-MATE-STATE, TEST-RLS-BASIC",P0,TASKS/TASK-API-MODERATION.md,True,W03
49,API-ACCOUNT,프로필·성인확인·탈퇴,API,IMPLEMENT(축소),"REQ-FUNC-028,029,045,066; REQ-NF-018",-,-,-,"DB-ACCESS, DB-RLS-BASE",`src/lib/db/account.ts`(create),"성인확인 상태·시각 기록, 프로필 갱신, 탈퇴 시 즉시 비식별화",해당 없음,정확한 생년월일 저장 금지,E2E-MATE-AUTH,P0,TASKS/TASK-API-ACCOUNT.md,True,W02
50,API-ADMIN-SETTINGS,외부 URL 설정,API,IMPLEMENT,REQ-FUNC-077,-,-,-,"DB-ACCESS, DB-RLS-BASE",`src/lib/db/admin-settings.ts`(create),항공·숙소 외부 URL을 HTTPS 허용목록 내에서만 저장,해당 없음,"HTTP·javascript·data URL 저장 거부, Admin 역할만 쓰기 허용","TEST-RLS-BASIC, E2E-MATE-AUTH",P0,TASKS/TASK-API-ADMIN-SETTINGS.md,True,W03
51,CI-CONTENT-VALIDATION,콘텐츠 완전성·수량 검증 스크립트,CI_OPS,IMPLEMENT(축소),"REQ-FUNC-008,046,074; REQ-NF-026,027,028",-,-,-,"DATA-DESTINATIONS, DATA-SAFETY, DATA-REPRESENTATIVE",`scripts/validate_content.py`(create),"국내 10+·해외 15개국 30개 도시+ 수량, 해외 국가 100% 안전 페이지 커버리지, 필수 필드 완전성, 게시 전 게이트 실패 시 비영시(exit 1)",해당 없음,해당 없음,RELEASE-CHECK-VERCEL-SUPABASE,P1,TASKS/TASK-CI-CONTENT-VALIDATION.md,True,W09
52,CI-SECURITY-BASELINE,보안 기본기(CSRF/XSS/env),CI_OPS,IMPLEMENT,"REQ-NF-014,015,016",-,-,-,DB-RLS-BASE,"`next.config.ts`(modify), `.env.example`(create)","SameSite 쿠키, Server Actions CSRF 기본 보호 확인, 입력 이스케이프, 비밀키는 환경변수로만 관리(클라이언트 번들 미포함)",해당 없음,빌드 산출물에서 비밀키 문자열 부재 확인,RELEASE-CHECK-VERCEL-SUPABASE,P1,TASKS/TASK-CI-SECURITY-BASELINE.md,True,W09
53,CI-BUILD-LINT-GATE,TypeScript strict·ESLint 빌드 게이트,CI_OPS,IMPLEMENT(축소),REQ-NF-031,-,-,-,-,"`tsconfig.json`(modify, strict), `.github/workflows/*` 또는 Vercel 빌드 설정(modify)","`npm run build`, `npm run lint` 병합 전 통과 강제",해당 없음,해당 없음,RELEASE-CHECK-VERCEL-SUPABASE,P1,TASKS/TASK-CI-BUILD-LINT-GATE.md,True,W09
54,MANUAL-PERF-CHECK,성능 수동 점검(Lighthouse),MANUAL,IMPLEMENT(최선노력),"REQ-NF-001,002,003,005,006",-,-,-,"PAGE-SCR001, PAGE-SCR002, PAGE-SCR003, PAGE-SCR004, PAGE-SCR005",(코드 산출물 없음 — 점검 기록만),5개 Screen에 대해 모바일 기준 LCP/INP/CLS 수동 측정 및 기록,해당 없음,해당 없음,해당 Task 자체가 Release Check 입력,P2,TASKS/TASK-MANUAL-PERF-CHECK.md,True,W10
55,MANUAL-A11Y-CHECK,접근성 수동 점검(키보드·axe),MANUAL,IMPLEMENT(축소),"REQ-NF-024,025",-,-,-,"CMP-GLOBAL-A11Y, PAGE-SCR001, PAGE-SCR002, PAGE-SCR003, PAGE-SCR004, PAGE-SCR005",(코드 산출물 없음 — 점검 기록만),axe-core 스캔(핵심 페이지 serious/critical 0건 목표) + 키보드·스크린리더 수동 점검 기록,해당 없음,해당 없음,해당 Task 자체가 Release Check 입력,P2,TASKS/TASK-MANUAL-A11Y-CHECK.md,True,W10
56,RELEASE-CHECK-VERCEL-SUPABASE,Vercel/Supabase 배포·비용 확인,RELEASE,IMPLEMENT,"REQ-NF-012,034",-,-,-,"PAGE-SCR001, PAGE-SCR002, PAGE-SCR003, PAGE-SCR004, PAGE-SCR005, DB-SCHEMA-BASE, CI-BUILD-LINT-GATE, CI-CONTENT-VALIDATION, CI-SECURITY-BASELINE",(코드 산출물 없음 — 배포 확인 기록만),"배포 후 HTTPS 접속 확인, Vercel/Supabase 청구 콘솔에서 월 비용 목표(10만원 이하) 확인",해당 없음,해당 없음,해당 Task가 최종 릴리스 체크,P2,TASKS/TASK-RELEASE-CHECK-VERCEL-SUPABASE.md,True,W11
57,UNIT-TRAVEL-DATES,날짜 검증 Unit Test,TEST_UNIT,IMPLEMENT,"REQ-FUNC-013,021,037",-,-,-,"CMP-SCR003-FLIGHT-TAB, CMP-SCR003-HOTEL-TAB, CMP-SCR004-FILTER-LIST",`src/app/_components/scr003/__tests__/dates.test.ts`(create),"과거일·역전일·경계값(체크인=체크아웃) 차단, 동행글 종료일 경과 시 CLOSED 판정 로직 검증",해당 없음,해당 없음,(Test 자체),P1,TASKS/TASK-UNIT-TRAVEL-DATES.md,True,W10
58,UNIT-CONTACT-DETECTION,연락처 탐지 Unit Test,TEST_UNIT,IMPLEMENT,REQ-FUNC-032,-,-,-,CMP-SCR003-MATE-TAB,`src/app/_components/scr003/__tests__/contact-detection.test.ts`(create),"전화번호·이메일·메신저 ID 패턴 기준 테스트셋 탐지율 95%+, 오탐 5% 이하 검증",해당 없음,해당 없음,(Test 자체),P1,TASKS/TASK-UNIT-CONTACT-DETECTION.md,True,W10
59,UNIT-MATE-STATE,동행 상태 전이 Unit Test,TEST_UNIT,IMPLEMENT,"REQ-FUNC-035,036,041,042",-,-,-,"API-MATES-APPLICATIONS, API-MODERATION",`src/lib/db/__tests__/mate-state.test.ts`(create),"중복 요청 차단, PENDING→ACCEPTED/REJECTED 전이 권한, 신고 OPEN→RESOLVED/DISMISSED 전이 검증",해당 없음,해당 없음,(Test 자체),P1,TASKS/TASK-UNIT-MATE-STATE.md,True,W10
60,TEST-RLS-BASIC,Supabase RLS 정책 테스트,TEST_RLS,IMPLEMENT,REQ-FUNC-044; REQ-NF-013,-,-,-,DB-RLS-BASE,`supabase/tests/rls_basic.sql` 또는 `src/lib/db/__tests__/rls.test.ts`(create),역할별(Guest/Adult Member/Owner/Moderator/Admin) 비공개 데이터 접근 시나리오 전량 403/빈 결과 확인,해당 없음,해당 없음,(Test 자체),P0,TASKS/TASK-TEST-RLS-BASIC.md,True,W10
61,E2E-PUBLIC-SMOKE,Playwright Chromium 스모크 — 공개 열람 흐름,TEST_E2E,IMPLEMENT,"REQ-FUNC-001~010,047~054,057~065,067~070,078,079",-,-,-,"PAGE-SCR001, PAGE-SCR002",`e2e/public-smoke.spec.ts`(create),"① 여행지 목록→필터→상세→안전정보 연결 ② 대표 소개 페이지 핵심 정보·홈 수치 일치 ③ 404/오류 화면 복구 버튼, Chromium 전용 스모크(다른 브라우저 프로젝트 없음)",해당 없음,해당 없음,(Test 자체),P1,TASKS/TASK-E2E-PUBLIC-SMOKE.md,True,W09
62,E2E-TRAVEL-TOOLS,Playwright Chromium 스모크 — 여행 준비 흐름,TEST_E2E,IMPLEMENT,"REQ-FUNC-011~032,080",-,-,-,PAGE-SCR003,`e2e/travel-tools.spec.ts`(create),"④ 항공 입력→검증 오류→요약→외부이동(새 탭, query 없음) ⑤ 숙소 동일 흐름 ⑥ 동행 작성(연락처 탐지 포함), Chromium 전용 스모크",해당 없음,항공/숙소 네트워크 요청에 입력값 포함 안 됨을 검증,(Test 자체),P1,TASKS/TASK-E2E-TRAVEL-TOOLS.md,True,W09
63,E2E-MATE-AUTH,Playwright Chromium 스모크 — 동행·인증·관리자 흐름,TEST_E2E,IMPLEMENT,"REQ-FUNC-027~030,033~045,066,077",-,-,-,"PAGE-SCR004, PAGE-SCR005",`e2e/mate-auth.spec.ts`(create),"⑦ 회원가입·성인확인→동행 작성→참가 요청→승인/거절 ⑧ 신고·차단→상호 비노출 ⑨ 관리자 신고 상태 변경·외부 URL 설정, Chromium 전용 스모크",해당 없음,비인증 사용자 쓰기 시도 차단 검증,(Test 자체),P1,TASKS/TASK-E2E-MATE-AUTH.md,True,W09
